main_street;id_arco;sense;from_intersection;to_intersection;Interseccion;day_name;hora;Nivel
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Thursday;21:15;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Thursday;21:30;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Thursday;21:45;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Friday;6:30;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Friday;6:45;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Friday;7:00;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Friday;7:15;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Friday;7:30;
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Friday;7:45;
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Friday;8:00;
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Friday;8:15;
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Friday;8:30;
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Friday;8:45;
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Friday;9:00;
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Friday;9:15;
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Friday;9:30;
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Friday;9:45;
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Friday;10:00;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Friday;10:15;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Friday;10:30;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Friday;10:45;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Friday;11:00;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Friday;11:15;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Friday;11:30;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Friday;11:45;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Friday;12:00;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Friday;12:15;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Friday;12:30;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Friday;12:45;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Friday;13:00;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Friday;13:15;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Friday;13:30;4
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Friday;13:45;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Friday;14:00;4
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Friday;14:15;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Friday;14:30;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Friday;14:45;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Friday;15:00;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Friday;15:15;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Friday;15:30;3
